"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.9852841641191787"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.9096165896624173"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","9.8973492480300607"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.6803676095767139"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.2733059033534486"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.919826303512453"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","8.9526239586291307"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.6933237230993186"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.7700655720952536"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.2578191169220849"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","7.2676400771245069"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.8951147849126695"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.2061469859446508"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.2425321743075113"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.8674574983195953"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.6020364281065742"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.8487819928313294"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.0050224544727122"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","6.9613244522445408"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.5836191256606558"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.8831929284299029"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.4605207920277721"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.2445774348550644"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.175294026656581"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.907702171114825"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.3158733573918067"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.3482651291269176"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.0199473348882524"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.7578309965802368"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.2181645148415479"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.1582512636029492"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.0570253918247072"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.4004722803328891"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.7553900566540128"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.378337328802318"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","1.8759907813293835"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.6046833844884363"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","4.120646555851935"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.0398148687128739"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.1135420165330783"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.4546309584030563"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.8484330470989696"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","5.1737515989152358"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","3.5834202986157337"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.8083603140385756"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","Female","Percentage (%)","Units","Normal value","2.9113809189124771"
