Year,Series,Sex,Region of England,Age group,Units,Unit multiplier,Observation status,Value
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,13.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,16.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,16.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,18.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,18.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,18.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,18.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,21
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,21.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,25-34,Percentage,Units,Normal value,19.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,10.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,11.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,10.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,11.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,12.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,12.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,16.600000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,16
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,16.899999999999999
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,17.399999999999999
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,35-44,Percentage,Units,Normal value,18.600000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,11.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,13.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,11
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,12
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,12.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,14.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,15.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,15.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,16.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,16.899999999999999
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,45-54,Percentage,Units,Normal value,17.600000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,10.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,11.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,11.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,12.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,12.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,12.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,11.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,14
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,13.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,15.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,55-64,Percentage,Units,Normal value,15.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,6.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,6.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,5.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,6.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,5.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,7.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,7.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,7.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,8.3000000000000007
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,65+,Percentage,Units,Normal value,7.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,10.199999999999999
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,10.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,10.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,11.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,12.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,12.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,14.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,14.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,15.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,15.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Women,South East,All 18+,Percentage,Units,Normal value,16.3
