"Year","Series","Sex","Age","Country","Region","Socio-economic classification","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","South East","","","","Percentage","Units","Normal value","18.5"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","South East","","","","Percentage","Units","Normal value","19.4"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","South East","","","","Percentage","Units","Normal value","20.2"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","South East","","","","Percentage","Units","Normal value","20.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","17.9"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","20.3"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","22.4"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","19.8"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","20.4"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","22"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","22.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","32"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","25.8"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","28.3"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Male","18 to 24","England","South West","","","","Percentage","Units","Normal value","28.9"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","18.5"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","19.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","25"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","25.1"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","22.5"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","23.6"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","25.1"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","29.9"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","28.4"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","29.2"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Male","25 to 34","England","South West","","","","Percentage","Units","Normal value","30.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","35 to 44","England","South West","","","","Percentage","Units","Normal value","18.8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","35 to 44","England","South West","","","","Percentage","Units","Normal value","19.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","35 to 44","England","South West","","","","Percentage","Units","Normal value","19.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","35 to 44","England","South West","","","","Percentage","Units","Normal value","19.4"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","35 to 44","England","South West","","","","Percentage","Units","Normal value","19.4"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","35 to 44","England","South West","","","","Percentage","Units","Normal value","17.9"
